dsny_namecode,year,time,cont,ton,namecode_tds,SD,units_S8,units_current,units_total,number_rental_rooms,population_S8,population_PH,population_total,residential_buildings,non-residential_buildings,stairhalls,total_sqft,acres,net_dev_sqft,acres_nopark,bldg_coverage_sqft,cubage_cuft,development_cost,families_on_fixed_income,ave_r_per_unit,density_PopPerSqFt,density_PopPerDevFt,density_PopPerCubage,cost_per_rental_room_ab,bldg_land_ratio,avg_m_gross_rent,pct_families_on_fixed_income,dev_name,extcomp,waste_yard,intcomp,rec_bins,balers,bulk_conts,per_unit_rb,per_capita_rb,Avg Temperature,Precipitation,Snowdepth,label_n4,C1,C2,C3,C4,HeavyPre,Snow,month,January,February,March,April,May,June,July,August,September,October,November,December,pandemic,nondev_sqft,park_acres,mean_ton,rolling_ton,ave_height,ave_bldg_sqft
adams,2017,2017-02-01,11.0,73.98,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,42.39,0.05,0.29,C2,0,1,0,0,0.0,1.0,February,0,1,0,0,0,0,0,0,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,80.93666666666667,21.357832029822383,54724.0
adams,2017,2017-03-01,11.0,75.12,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,40.37,0.09,0.23,C2,0,1,0,0,0.0,1.0,March,0,0,1,0,0,0,0,0,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,74.09333333333335,21.357832029822383,54724.0
adams,2017,2017-04-01,10.0,73.17999999999999,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,56.79,0.2,0.0,C2,0,1,0,0,1.0,0.0,April,0,0,0,1,0,0,0,0,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,84.77666666666666,21.357832029822383,54724.0
adams,2017,2017-05-01,14.0,106.03,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,62.52,0.19,0.0,C2,0,1,0,0,0.0,0.0,May,0,0,0,0,1,0,0,0,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,85.46,21.357832029822383,54724.0
adams,2017,2017-06-01,10.0,77.16999999999999,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,73.32,0.15,0.0,C2,0,1,0,0,0.0,0.0,June,0,0,0,0,0,1,0,0,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,90.74333333333333,21.357832029822383,54724.0
adams,2017,2017-07-01,12.0,89.03,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,77.58,0.07,0.0,C2,0,1,0,0,0.0,0.0,July,0,0,0,0,0,0,1,0,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,88.11333333333334,21.357832029822383,54724.0
adams,2017,2017-08-01,13.0,98.14,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,74.84,0.11,0.0,C2,0,1,0,0,0.0,0.0,August,0,0,0,0,0,0,0,1,0,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,95.77333333333333,21.357832029822383,54724.0
adams,2017,2017-09-01,13.0,100.15,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,70.64,0.06,0.0,C2,0,1,0,0,0.0,0.0,September,0,0,0,0,0,0,0,0,1,0,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,91.15333333333335,21.357832029822383,54724.0
adams,2017,2017-10-01,10.0,75.16999999999999,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,64.9,0.12,0.0,C2,0,1,0,0,0.0,0.0,October,0,0,0,0,0,0,0,0,0,1,0,0,0.0,25820.0,0.6000000000000014,87.47166666666668,90.08333333333333,21.357832029822383,54724.0
adams,2017,2017-11-01,13.0,94.93,118,0,0.0,925.0,925.0,4309.5,0.0,2373.0,2373.0,7.0,0.0,7.0,408888.0,9.39,383068.0,8.79,56283.0,8181502.0,17878818.0,0.0,2.5654054054054054,0.0058035452250983,0.0061947226079964,0.0002900445419435,19328.45189189189,13.76,487.0,,ADAMS,2.0,1.0,7.0,6.0,0.0,1.0,0.0064864864864864,0.0025284450063211,48.21,0.07,0.0,C2,0,1,0,0,0.0,0.0,November,0,0,0,0,0,0,0,0,0,0,1,0,0.0,25820.0,0.6000000000000014,87.47166666666668,87.71666666666665,21.357832029822383,54724.0
