dev,name_code,month,year,time,cont,ton
ADAMS,adams,April,2018,2018-04-01,12.0,85.75999999999999
ADAMS,adams,April,2019,2019-04-01,12.0,83.97
ADAMS,adams,April,2020,2020-04-01,15.0,99.64999999999999
ADAMS,adams,April,2021,2021-04-01,12.0,81.66000000000001
ADAMS,adams,August,2018,2018-08-01,14.0,112.36000000000001
ADAMS,adams,August,2019,2019-08-01,13.0,91.11
ADAMS,adams,August,2020,2020-08-01,13.0,100.57
ADAMS,adams,August,2021,2021-08-01,10.0,84.76
ADAMS,adams,December,2018,2018-12-01,11.0,75.89
ADAMS,adams,December,2019,2019-12-01,13.0,78.43
ADAMS,adams,December,2020,2020-12-01,16.0,116.83999999999999
ADAMS,adams,December,2021,2021-12-01,0.0,0.0
ADAMS,adams,February,2018,2018-02-01,12.0,85.26
ADAMS,adams,February,2019,2019-02-01,12.0,78.30000000000001
ADAMS,adams,February,2020,2020-02-01,13.0,80.36
ADAMS,adams,February,2021,2021-02-01,13.0,84.28999999999999
ADAMS,adams,January,2018,2018-01-01,14.0,88.19
ADAMS,adams,January,2019,2019-01-01,15.0,109.11999999999999
ADAMS,adams,January,2020,2020-01-01,15.0,89.94
ADAMS,adams,January,2021,2021-01-01,13.0,84.63
ADAMS,adams,July,2018,2018-07-01,12.0,94.66000000000001
ADAMS,adams,July,2019,2019-07-01,15.0,106.63999999999999
ADAMS,adams,July,2020,2020-07-01,17.0,124.86000000000001
ADAMS,adams,July,2021,2021-07-01,11.0,81.32
ADAMS,adams,June,2018,2018-06-01,11.0,86.22
ADAMS,adams,June,2019,2019-06-01,12.0,80.9
ADAMS,adams,June,2020,2020-06-01,12.0,88.11999999999999
ADAMS,adams,June,2021,2021-06-01,15.0,116.83000000000001
ADAMS,adams,March,2018,2018-03-01,11.0,75.0
ADAMS,adams,March,2019,2019-03-01,11.0,75.23
ADAMS,adams,March,2020,2020-03-01,13.0,80.24000000000001
ADAMS,adams,March,2021,2021-03-01,17.0,111.88
ADAMS,adams,May,2018,2018-05-01,15.0,114.6
ADAMS,adams,May,2019,2019-05-01,14.0,90.4
ADAMS,adams,May,2020,2020-05-01,13.0,94.86
ADAMS,adams,May,2021,2021-05-01,11.0,72.86000000000001
ADAMS,adams,November,2018,2018-11-01,13.0,96.08
ADAMS,adams,November,2019,2019-11-01,14.0,94.3
ADAMS,adams,November,2020,2020-11-01,11.0,76.91
ADAMS,adams,November,2021,2021-11-01,0.0,0.0
ADAMS,adams,October,2018,2018-10-01,15.0,113.54
ADAMS,adams,October,2019,2019-10-01,15.0,112.39999999999999
ADAMS,adams,October,2020,2020-10-01,14.0,94.41
ADAMS,adams,October,2021,2021-10-01,0.0,0.0
ADAMS,adams,September,2018,2018-09-01,11.0,90.18
ADAMS,adams,September,2019,2019-09-01,12.0,81.9
ADAMS,adams,September,2020,2020-09-01,15.0,98.24
ADAMS,adams,September,2021,2021-09-01,11.0,95.35000000000001
ALBANY,albany,April,2018,2018-04-01,12.0,92.54
ALBANY,albany,April,2019,2019-04-01,12.0,97.17
ALBANY,albany,April,2020,2020-04-01,15.0,114.6
ALBANY,albany,April,2021,2021-04-01,13.0,104.55000000000001
ALBANY,albany,August,2018,2018-08-01,14.0,121.75
ALBANY,albany,August,2019,2019-08-01,12.0,102.26
ALBANY,albany,August,2020,2020-08-01,13.0,114.22999999999999
ALBANY,albany,August,2021,2021-08-01,13.0,106.11999999999999
ALBANY,albany,December,2018,2018-12-01,13.0,109.11000000000001
ALBANY,albany,December,2019,2019-12-01,11.0,87.53
ALBANY,albany,December,2020,2020-12-01,16.0,123.49
ALBANY,albany,December,2021,2021-12-01,0.0,0.0
ALBANY,albany,February,2018,2018-02-01,12.0,97.88
ALBANY,albany,February,2019,2019-02-01,12.0,92.11
ALBANY,albany,February,2020,2020-02-01,12.0,90.21
ALBANY,albany,February,2021,2021-02-01,13.0,93.26
ALBANY,albany,January,2018,2018-01-01,12.0,92.35
ALBANY,albany,January,2019,2019-01-01,15.0,112.1
ALBANY,albany,January,2020,2020-01-01,16.0,123.56
ALBANY,albany,January,2021,2021-01-01,13.0,100.14
ALBANY,albany,July,2018,2018-07-01,11.0,92.81
ALBANY,albany,July,2019,2019-07-01,15.0,126.74000000000001
ALBANY,albany,July,2020,2020-07-01,15.0,133.89999999999998
ALBANY,albany,July,2021,2021-07-01,11.0,96.52
ALBANY,albany,June,2018,2018-06-01,12.0,92.56
ALBANY,albany,June,2019,2019-06-01,13.0,106.74
ALBANY,albany,June,2020,2020-06-01,13.0,120.42999999999999
ALBANY,albany,June,2021,2021-06-01,17.0,138.24999999999997
ALBANY,albany,March,2018,2018-03-01,12.0,92.55
ALBANY,albany,March,2019,2019-03-01,13.0,95.0
ALBANY,albany,March,2020,2020-03-01,13.0,99.53
ALBANY,albany,March,2021,2021-03-01,18.0,132.86
ALBANY,albany,May,2018,2018-05-01,14.0,109.41
ALBANY,albany,May,2019,2019-05-01,14.0,122.62
ALBANY,albany,May,2020,2020-05-01,11.0,91.75
ALBANY,albany,May,2021,2021-05-01,15.0,126.42999999999999
ALBANY,albany,November,2018,2018-11-01,12.0,104.15
ALBANY,albany,November,2019,2019-11-01,12.0,89.54
ALBANY,albany,November,2020,2020-11-01,10.0,77.68
ALBANY,albany,November,2021,2021-11-01,0.0,0.0
ALBANY,albany,October,2018,2018-10-01,14.0,112.86999999999999
ALBANY,albany,October,2019,2019-10-01,14.0,115.02
ALBANY,albany,October,2020,2020-10-01,11.0,72.75
ALBANY,albany,October,2021,2021-10-01,0.0,0.0
ALBANY,albany,September,2018,2018-09-01,11.0,92.68
ALBANY,albany,September,2019,2019-09-01,12.0,99.08
ALBANY,albany,September,2020,2020-09-01,14.0,132.79000000000002
ALBANY,albany,September,2021,2021-09-01,15.0,130.28
AMSTERDAM,amsterdam,April,2018,2018-04-01,9.0,72.18
AMSTERDAM,amsterdam,April,2019,2019-04-01,9.0,73.22
AMSTERDAM,amsterdam,April,2020,2020-04-01,14.0,102.52
AMSTERDAM,amsterdam,April,2021,2021-04-01,16.0,133.31
AMSTERDAM,amsterdam,August,2018,2018-08-01,11.0,74.61999999999999
AMSTERDAM,amsterdam,August,2019,2019-08-01,9.0,76.61
AMSTERDAM,amsterdam,August,2020,2020-08-01,12.0,110.86
AMSTERDAM,amsterdam,August,2021,2021-08-01,12.0,99.20000000000002
AMSTERDAM,amsterdam,December,2018,2018-12-01,11.0,70.2
AMSTERDAM,amsterdam,December,2019,2019-12-01,11.0,79.52000000000001
AMSTERDAM,amsterdam,December,2020,2020-12-01,19.0,131.39999999999998
AMSTERDAM,amsterdam,December,2021,2021-12-01,0.0,0.0
AMSTERDAM,amsterdam,February,2018,2018-02-01,9.0,66.60000000000001
AMSTERDAM,amsterdam,February,2019,2019-02-01,9.0,75.09
AMSTERDAM,amsterdam,February,2020,2020-02-01,11.0,85.7
AMSTERDAM,amsterdam,February,2021,2021-02-01,11.0,86.93
AMSTERDAM,amsterdam,January,2018,2018-01-01,7.0,52.23
AMSTERDAM,amsterdam,January,2019,2019-01-01,12.0,78.3
AMSTERDAM,amsterdam,January,2020,2020-01-01,13.0,99.81
AMSTERDAM,amsterdam,January,2021,2021-01-01,13.0,90.03
AMSTERDAM,amsterdam,July,2018,2018-07-01,10.0,81.89
AMSTERDAM,amsterdam,July,2019,2019-07-01,12.0,103.78
AMSTERDAM,amsterdam,July,2020,2020-07-01,12.0,104.11000000000001
AMSTERDAM,amsterdam,July,2021,2021-07-01,13.0,97.65
AMSTERDAM,amsterdam,June,2018,2018-06-01,9.0,71.31
AMSTERDAM,amsterdam,June,2019,2019-06-01,9.0,75.78999999999999
AMSTERDAM,amsterdam,June,2020,2020-06-01,11.0,99.27
AMSTERDAM,amsterdam,June,2021,2021-06-01,15.0,121.03
AMSTERDAM,amsterdam,March,2018,2018-03-01,11.0,83.08000000000001
AMSTERDAM,amsterdam,March,2019,2019-03-01,9.0,72.3
AMSTERDAM,amsterdam,March,2020,2020-03-01,11.0,79.28
AMSTERDAM,amsterdam,March,2021,2021-03-01,15.0,114.02000000000001
AMSTERDAM,amsterdam,May,2018,2018-05-01,11.0,85.78999999999999
AMSTERDAM,amsterdam,May,2019,2019-05-01,12.0,103.7
AMSTERDAM,amsterdam,May,2020,2020-05-01,8.0,71.28999999999999
AMSTERDAM,amsterdam,May,2021,2021-05-01,12.0,93.13000000000001
AMSTERDAM,amsterdam,November,2018,2018-11-01,12.0,80.08
AMSTERDAM,amsterdam,November,2019,2019-11-01,10.0,77.27999999999999
AMSTERDAM,amsterdam,November,2020,2020-11-01,12.0,98.47999999999999
AMSTERDAM,amsterdam,November,2021,2021-11-01,0.0,0.0
AMSTERDAM,amsterdam,October,2018,2018-10-01,14.0,95.49
AMSTERDAM,amsterdam,October,2019,2019-10-01,12.0,107.65
AMSTERDAM,amsterdam,October,2020,2020-10-01,11.0,91.73
AMSTERDAM,amsterdam,October,2021,2021-10-01,0.0,0.0
AMSTERDAM,amsterdam,September,2018,2018-09-01,11.0,79.82000000000001
AMSTERDAM,amsterdam,September,2019,2019-09-01,10.0,85.88
AMSTERDAM,amsterdam,September,2020,2020-09-01,11.0,93.65
AMSTERDAM,amsterdam,September,2021,2021-09-01,17.0,134.01
ASTORIA,astoria,April,2018,2018-04-01,12.0,74.46
ASTORIA,astoria,April,2019,2019-04-01,7.0,45.54
ASTORIA,astoria,April,2020,2020-04-01,22.0,141.18
ASTORIA,astoria,April,2021,2021-04-01,23.0,139.98
ASTORIA,astoria,August,2018,2018-08-01,9.0,61.230000000000004
ASTORIA,astoria,August,2019,2019-08-01,10.0,68.14999999999999
ASTORIA,astoria,August,2020,2020-08-01,22.0,136.75
ASTORIA,astoria,August,2021,2021-08-01,18.0,115.19000000000001
ASTORIA,astoria,December,2018,2018-12-01,15.0,99.22999999999999
ASTORIA,astoria,December,2019,2019-12-01,18.0,110.62
ASTORIA,astoria,December,2020,2020-12-01,25.0,154.18000000000004
ASTORIA,astoria,December,2021,2021-12-01,0.0,0.0
ASTORIA,astoria,February,2018,2018-02-01,10.0,67.83999999999999
ASTORIA,astoria,February,2019,2019-02-01,5.0,32.4
ASTORIA,astoria,February,2020,2020-02-01,18.0,111.42
