hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_apartments,current_apartments,total_number_apartments,number_rental_rooms,avg._no._r/r_per_apartment,population_-_section_8_transition,population_-_public_housing,total_population,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room,avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005011330,180,133,289,289,NY005090,1010 EAST 178TH STREET,FEDERAL,CONVENTIONAL,NEW CONST,,218,220,918.0,4.21,,461,461,1,0,1,21,"88,172",2.02,"88,172",2.02,"14,961","1,841,787",16.97%,228,"$5,031,405","$5,341",$456,E TREMONT AVE BRYANT AVE E 178TH ST BOSTON RD,BRONX,6,15,32,87,15,3/31/1971,,,,
NY005013080,233,308,354,344,NY005138,1162-1176 WASHINGTON AVENUE,FEDERAL,TURNKEY,REHAB,,65,66,293.5,4.52,,180,180,1,0,1,6,"18,987",0.44,"18,987",0.44,"12,231","851,926",64.42%,409,"$2,205,187","$7,302",$453,E 167TH ST E 168TH ST THIRD AVE WASHINGTON AVE,BRONX,3,15,32,79,16,12/31/1975,,,,
NY005010670,214,067,332,222,NY005162,1471 WATSON AVENUE,FEDERAL,TURNKEY,NEW CONST,,96,96,386.0,4.02,,163,163,1,0,1,6,"39,937",0.92,"39,937",0.92,"13,337","810,629",33.40%,177,"$2,278,928","$5,814",$438,WATSON AVE COLGATE AVE EVERGREEN AVE,BRONX,9,15,32,85,17,12/31/1970,,,,
NY005001180,118,118,248,248,NY005049,ADAMS,FEDERAL,CONVENTIONAL,NEW CONST,,925,925,"4,309.5",4.66,,"2,365","2,365",7,0,7,15-21,"408,888",9.39,"383,068",8.79,"56,283","8,181,502",13.76%,252,"$17,878,818","$4,149",$485,WESTCHESTER AVE UNION AVE E 152ND ST,BRONX,1,15,29,84,17,8/31/1964,,,,
NY005012020,202,197,311,311,NY005106,BAILEY AVENUE-WEST 193RD STREET,FEDERAL,CONVENTIONAL,NEW CONST,,233,233,980.5,4.21,,465,465,1,0,1,20,"99,606",2.29,"99,606",2.29,"13,621","1,877,893",13.67%,203,"$8,091,156","$8,173",$480,BAILEY AVE W 193RD ST HEATH AVE,BRONX,7,13,33,86,14,5/31/1973,,,,
NY005021260,126,138,440,440,NY005367,BAYCHESTER,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,147,440,441,"1,863.0",4.23,323,534,857,11,1,12,6,"360,248",8.27,"360,248",8.27,"66,835","3,759,170",18.55%,104,"$8,099,000","$4,339",$494,SCHIEFFELIN AVE E 225TH ST E 229TH ST,BRONX,12,16,36,83,12,10/31/1963,,,,
NY005012110,211,211,326,326,NY005121,BETANCES I,FEDERAL,CONVENTIONAL,NEW CONST,,309,309,"1,410.5",4.56,,699,699,13,0,13,3-4-12-20,"136,173",3.13,"136,173",3.13,"40,862","2,587,665",30.01%,223,"$8,854,586","$6,216",$468,BROOK AVE E 144TH ST SAINT ANN’S AVE E 143RD ST,BRONX,1,15,29,84,08,5/31/1973,,PARTIALLY,,
,"220, 518, 519","084, 145, 211","294, 338, 300","326, 249, 294",NY005118ABC,BETANCES II,FEDERAL,TURNKEY,NEW CONST,,175,175,856.5,4.89,,,447,4,0,9,4-6,"105,015",2.41,"105,015",2.41,"43,313","2,393,548",41.24%,185,"$6,919,291","$8,055",$523,"E 136TH ST E 140TH, 144TH STS JACKSON AVE WILLIS AVE",BRONX,1,15,29,84,08,7/31/1973,,,,
,"222, 520, 521","084, 145, 211","339, 366, 356","326, 249, 294",NY005134ABC,BETANCES III,FEDERAL,TURNKEY,REHAB,,67,67,337.5,5.04,,,198,5,0,5,5-6,"49,767",1.14,"49,767",1.14,"28,692","2,677,414",57.65%,174,"$4,846,925","$7,289",$496,"E 136TH ST E 140TH, 144TH STS JACKSON AVE WILLIS AVE",BRONX,1,15,29,84,08,7/31/1973,,,,
NY005012110,230,211,349,326,NY005135,BETANCES IV,FEDERAL,TURNKEY,NEW CONST,,282,282,"1,366.0",4.84,,744,744,8,0,19,3-4-6,"189,526",4.35,"189,526",4.35,"74,343","3,694,403",39.23%,171,"$10,758,956","$7,853",$535,E 143RD ST E 147TH ST WILLIS AVE SAINT ANN’S AVE,BRONX,1,15,29,84,08,12/31/1973,,,,
NY005012110,231,211,350,326,NY005136,BETANCES V,FEDERAL,TURNKEY,REHAB,,100,100,484.0,4.84,,305,305,6,0,6,5-6,"45,308",1.04,"45,308",1.04,"30,557","2,021,785",67.44%,293,"$5,877,679","$7,916",$500,E 143RD ST E 147TH ST WILLIS AVE SAINT ANN’S AVE,BRONX,1,15,29,84,08,2/28/1974,,,,
