year,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Snowdepth,Wind,Gust Wind,Sea Level Pressure
2017-01,44,39.29,35.16,27.44,0.13,0.23,12.05,7.17,29.98
2017-02,49.29,42.39,35.86,26.83,0.05,0.29,12.44,7.58,29.79
2017-03,47.45,40.37,34,21.9,0.09,0.23,14.02,10.2,30.1
2017-04,64.57,56.79,50.37,41.9,0.2,0,10.88,4.75,29.99
2017-05,69.52,62.52,56.68,47.72,0.19,0,11.19,5.49,29.79
2017-06,80.2,73.32,66.4,56.95,0.15,0,9.98,4.86,29.9
2017-07,84.06,77.58,71.45,65.01,0.07,0,9.04,2.33,29.94
2017-08,81.03,74.84,69.13,62.61,0.11,0,8.9,1.8,30
2017-09,77.57,70.64,65.1,59.17,0.06,0,9.51,2.61,29.99
2017-10,71.61,64.9,59.03,51.96,0.12,0,10.18,4.87,30.07
2017-11,54.63,48.21,41.23,34.55,0.07,0,10.83,5.36,30.09
2017-12,40.61,36.02,31.48,22.56,0.08,0.13,11.93,7.29,30.04
2018-01,37.84,31.79,25,18.7,0.31,0.23,12.58,7.77,30.16
2018-02,49.57,41.5,35,30.5,0.21,0.14,9.98,3.29,30.19
2018-03,45.94,40.22,35.19,24.81,0.13,0.19,13.86,9.75,29.9
2018-04,55.97,48.72,42.5,32.68,0.17,0.17,12.27,6.89,29.97
2018-05,75.61,66.08,58.77,51.58,0.1,0,8.77,2.19,30.01
2018-06,80.17,72.28,65.63,56.77,0.12,0,9.41,2.94,29.91
2018-07,86.16,79.19,73.06,63.96,0.17,0,9.64,3.66,30.04
2018-08,86.94,80.31,74.68,66.66,0.2,0,9.2,2.11,29.98
2018-09,77.67,72.3,67.57,62.77,0.2,0,9.59,1.89,30.14
2018-10,65.81,59.53,54.35,46.97,0.1,0,11.1,6.08,30.01
2018-11,50.33,45.77,40.73,33.38,0.24,0.1,12.68,8.04,30.01
2018-12,45.13,40.63,35.81,29.39,0.18,0,11.4,5.21,30.07
2019-1,39.06,33.68,26.94,19,0.17,0,12.9,9.54,30.03
2019-02,41.57,35.49,29.64,21.48,0.12,0,11.5,6.15,30.11
2019-03,47.32,40.78,34.9,23.61,0.11,0.13,12.31,7.43,29.69
2019-4,60.93,53.12,47.1,38.94,0.15,0,11.56,6.29,29.97
2019-05,68.68,61.11,54.9,49.35,0.21,0,10.18,3.49,29.94
2019-06,79.7,72.15,65.6,56.37,0.16,0,9.62,3,29.89
2019-07,88.61,81.02,74.16,64.38,0.18,0,8.35,1.98,29.92
2019-08,83.48,76.6,70.9,61.81,0.12,0,8.88,2.24,29.94
2019-9,78.4,71.58,65.23,56.14,0.02,0,9.51,1.82,30.07
2019-10,66.74,60.6,55.23,48.59,0.18,0,11.3,5.53,30.03
2019-11,50.43,44.8,38.5,28.93,0.06,0,11.76,6.32,30.03
2019-12,43.61,39.09,34.03,27.96,0.23,0.03,11.91,6.94,30.03
2020-01,44.03,38.84,33.32,25.86,0.05,0.03,11.43,6.16,30.09
2020-02,45.41,39.44,33.79,24.85,0.08,0,10.83,5.53,29.96
2020-3,54.48,47.19,41.61,30.71,0.13,0,11.72,4.16,30.09
2020-04,56.63,50.06,44.33,33.54,0.13,0,12.87,9.2,29.84
2020-05,68.42,60.09,52.94,42.92,0.06,0,11.28,5.53,30.01
2020-06,83.13,75.03,68.27,56.2,0.04,0,8.75,2.21,29.96
2020-07,89.61,81.77,75.52,65.44,0.15,0,9.06,2.15,29.91
2020-8,85.65,78.91,73.48,64.12,0.16,0,9.48,2.9,29.92
2020-09,76.93,70.81,65.27,55.59,0.14,0,9.26,1.97,30.06
2020-10,65.32,59.82,54.61,48,0.17,0,9.41,2.88,30.07
2020-11,60.48,54.21,47.52,38.23,0.11,0,11.08,6.5,30.11
2020-12,46.23,41.25,35.71,27.49,0.14,0.29,12.27,8.55,30
2021-01,41.32,36.52,32.39,21.62,0.08,0,12.22,6.88,29.97
2021-2,39.43,34.85,30.5,22.02,0.14,0.54,11.5,4.9,30.05
2021-03,52.61,44.95,37.71,25.84,0.1,0,12.18,8.26,30.11
2021-04,62.53,53.9,46.6,34.79,0.1,0,10.97,5.96,29.87
2021-5,70.81,62.94,55.81,42.23,0.13,0,10.79,4.21,30.04
2021-06,83.13,75.04,67.67,58.68,0.06,0,9.26,2.62,29.97
2021-07,84.26,77.04,71.13,63.75,0.29,0,8.97,2.26,29.94
2021-08,84.74,78.65,73.32,64.71,0.22,0,8.73,1.75,30
2021-09,78.6,72.32,66.67,57.73,0.29,0,10.35,4.37,29.97
2021-10,69.87,64.25,59.03,51.8,0.13,0,10.18,3.23,29.94
2021-11,54.37,49,43,31.65,0.03,0,10.3,5.47,30.06
2021-12,49.61,44.84,40.03,29.58,0.05,0.03,10.2,4.69,30.01
